820274111665000 now, 820274111269400 lastTime,0.07722400000000618 delta
820274112060500 now, 820274111665000 lastTime,0.10095400000000618 delta
820274112455500 now, 820274112060500 lastTime,0.12465400000000618 delta
820274112850900 now, 820274112455500 lastTime,0.14837800000000617 delta
820274113247200 now, 820274112850900 lastTime,0.17215600000000617 delta
820274113647300 now, 820274113247200 lastTime,0.19616200000000616 delta
820274114036500 now, 820274113647300 lastTime,0.21951400000000618 delta
820274114449300 now, 820274114036500 lastTime,0.2442820000000062 delta
820274114843200 now, 820274114449300 lastTime,0.2679160000000062 delta
820274115243900 now, 820274114843200 lastTime,0.2919580000000062 delta
820274116633300 now, 820274115243900 lastTime,0.3753220000000062 delta
820274117013700 now, 820274116633300 lastTime,0.3981460000000062 delta
820274117479400 now, 820274117013700 lastTime,0.42608800000000624 delta
820274117876100 now, 820274117479400 lastTime,0.44989000000000623 delta
820274118285700 now, 820274117876100 lastTime,0.4744660000000062 delta
820274118756200 now, 820274118285700 lastTime,0.5026960000000062 delta
820274119141200 now, 820274118756200 lastTime,0.5257960000000063 delta
820274119537500 now, 820274119141200 lastTime,0.5495740000000062 delta
820274119933200 now, 820274119537500 lastTime,0.5733160000000063 delta
820274120327700 now, 820274119933200 lastTime,0.5969860000000062 delta
820274120726100 now, 820274120327700 lastTime,0.6208900000000063 delta
820274121121600 now, 820274120726100 lastTime,0.6446200000000063 delta
820274121516100 now, 820274121121600 lastTime,0.6682900000000063 delta
820274121913200 now, 820274121516100 lastTime,0.6921160000000063 delta
820274122308200 now, 820274121913200 lastTime,0.7158160000000063 delta
820274122742200 now, 820274122308200 lastTime,0.7418560000000063 delta
820274123139400 now, 820274122742200 lastTime,0.7656880000000063 delta
820274123739200 now, 820274123139400 lastTime,0.8016760000000063 delta
820274124369300 now, 820274123739200 lastTime,0.8394820000000063 delta
820274124579600 now, 820274124369300 lastTime,0.8521000000000063 delta
820274124831900 now, 820274124579600 lastTime,0.8672380000000063 delta
820274125093700 now, 820274124831900 lastTime,0.8829460000000062 delta
820274125551600 now, 820274125093700 lastTime,0.9104200000000062 delta
820274125914500 now, 820274125551600 lastTime,0.9321940000000062 delta
820274126311100 now, 820274125914500 lastTime,0.9559900000000062 delta
820274126754500 now, 820274126311100 lastTime,0.9825940000000062 delta
820274127147300 now, 820274126754500 lastTime,1.0061620000000062 delta
820274127532300 now, 820274127147300 lastTime,0.02926200000000622 delta
820274127937100 now, 820274127532300 lastTime,0.05355000000000622 delta
820274128334900 now, 820274127937100 lastTime,0.07741800000000622 delta
820274128950300 now, 820274128334900 lastTime,0.11434200000000622 delta
820274129322300 now, 820274128950300 lastTime,0.13666200000000622 delta
820274129720200 now, 820274129322300 lastTime,0.16053600000000623 delta
820274130114900 now, 820274129720200 lastTime,0.18421800000000624 delta
820274130510000 now, 820274130114900 lastTime,0.20792400000000624 delta
820274130905700 now, 820274130510000 lastTime,0.23166600000000626 delta
820274131309800 now, 820274130905700 lastTime,0.25591200000000625 delta
820274131714400 now, 820274131309800 lastTime,0.28018800000000627 delta
820274132642400 now, 820274131714400 lastTime,0.3358680000000063 delta
820274133055400 now, 820274132642400 lastTime,0.3606480000000063 delta
820274133447300 now, 820274133055400 lastTime,0.3841620000000063 delta
820274133984700 now, 820274133447300 lastTime,0.41640600000000627 delta
820274134363800 now, 820274133984700 lastTime,0.43915200000000626 delta
820274134759900 now, 820274134363800 lastTime,0.46291800000000627 delta
820274135154400 now, 820274134759900 lastTime,0.4865880000000063 delta
820274135552800 now, 820274135154400 lastTime,0.5104920000000063 delta
820274135947600 now, 820274135552800 lastTime,0.5341800000000063 delta
820274136345000 now, 820274135947600 lastTime,0.5580240000000063 delta
820274136792000 now, 820274136345000 lastTime,0.5848440000000062 delta
820274137145200 now, 820274136792000 lastTime,0.6060360000000062 delta
820274137724600 now, 820274137145200 lastTime,0.6408000000000063 delta
820274138242200 now, 820274137724600 lastTime,0.6718560000000062 delta
820274138588400 now, 820274138242200 lastTime,0.6926280000000062 delta
820274138983000 now, 820274138588400 lastTime,0.7163040000000063 delta
820274139380000 now, 820274138983000 lastTime,0.7401240000000062 delta
820274139782500 now, 820274139380000 lastTime,0.7642740000000062 delta
820274140177000 now, 820274139782500 lastTime,0.7879440000000062 delta
820274140574500 now, 820274140177000 lastTime,0.8117940000000062 delta
820274140974300 now, 820274140574500 lastTime,0.8357820000000062 delta
820274141371700 now, 820274140974300 lastTime,0.8596260000000062 delta
820274141766900 now, 820274141371700 lastTime,0.8833380000000062 delta
820274142163100 now, 820274141766900 lastTime,0.9071100000000062 delta
820274142561400 now, 820274142163100 lastTime,0.9310080000000062 delta
820274142955300 now, 820274142561400 lastTime,0.9546420000000062 delta
820274143351700 now, 820274142955300 lastTime,0.9784260000000062 delta
820274143750200 now, 820274143351700 lastTime,1.0023360000000063 delta
820274144144600 now, 820274143750200 lastTime,0.026000000000006334 delta
820274144543900 now, 820274144144600 lastTime,0.04995800000000633 delta
820274144941100 now, 820274144543900 lastTime,0.07379000000000634 delta
820274145335300 now, 820274144941100 lastTime,0.09744200000000633 delta
820274145728400 now, 820274145335300 lastTime,0.12102800000000632 delta
820274146126100 now, 820274145728400 lastTime,0.14489000000000632 delta
820274146525400 now, 820274146126100 lastTime,0.16884800000000633 delta
820274146919800 now, 820274146525400 lastTime,0.19251200000000632 delta
820274147314600 now, 820274146919800 lastTime,0.21620000000000633 delta
820274147722000 now, 820274147314600 lastTime,0.24064400000000633 delta
820274148190500 now, 820274147722000 lastTime,0.2687540000000063 delta
820274148641300 now, 820274148190500 lastTime,0.29580200000000634 delta
820274149893100 now, 820274148641300 lastTime,0.37091000000000635 delta
820274150251800 now, 820274149893100 lastTime,0.39243200000000633 delta
820274150643600 now, 820274150251800 lastTime,0.4159400000000063 delta
820274151035300 now, 820274150643600 lastTime,0.4394420000000063 delta
820274151429500 now, 820274151035300 lastTime,0.46309400000000633 delta
820274151826500 now, 820274151429500 lastTime,0.48691400000000634 delta
820274152223700 now, 820274151826500 lastTime,0.5107460000000064 delta
820274152617300 now, 820274152223700 lastTime,0.5343620000000063 delta
820274153012900 now, 820274152617300 lastTime,0.5580980000000063 delta
820274153408200 now, 820274153012900 lastTime,0.5818160000000063 delta
820274153804000 now, 820274153408200 lastTime,0.6055640000000063 delta
820274154199200 now, 820274153804000 lastTime,0.6292760000000063 delta
820274154592300 now, 820274154199200 lastTime,0.6528620000000063 delta
820274154984500 now, 820274154592300 lastTime,0.6763940000000063 delta
820274155384100 now, 820274154984500 lastTime,0.7003700000000063 delta
820274155778500 now, 820274155384100 lastTime,0.7240340000000063 delta
820274156186000 now, 820274155778500 lastTime,0.7484840000000063 delta
820274156568300 now, 820274156186000 lastTime,0.7714220000000063 delta
820274156961600 now, 820274156568300 lastTime,0.7950200000000063 delta
820274157511600 now, 820274156961600 lastTime,0.8280200000000063 delta
820274157947900 now, 820274157511600 lastTime,0.8541980000000063 delta
820274158340500 now, 820274157947900 lastTime,0.8777540000000064 delta
820274158734000 now, 820274158340500 lastTime,0.9013640000000064 delta
820274159130000 now, 820274158734000 lastTime,0.9251240000000064 delta
820274159525400 now, 820274159130000 lastTime,0.9488480000000064 delta
820274159918800 now, 820274159525400 lastTime,0.9724520000000063 delta
820274160313100 now, 820274159918800 lastTime,0.9961100000000063 delta
820274160706900 now, 820274160313100 lastTime,1.0197380000000063 delta
820274161101300 now, 820274160706900 lastTime,0.043402000000006255 delta
